Total velocity (ft/s),Fx (N),Fy (N),Fz (N),Mx (N-m),My (N-m),Mz (N-m),CP,True Drag,,
0,0,0,0,0,0,0,#DIV/0!,0,,0
25,0.32331076,0.008961983,-0.026441565,-0.0030291078,0.071768418,0.023963882,105.2733568,0.32331076,,0.07216758036
50,1.1815083,0.049481366,-0.094104774,-0.0095736925,0.25267917,0.13512902,107.5158175,1.1815083,,0.2637295313
75,2.5651481,0.12373331,-0.22041117,-0.016214386,0.59097618,0.33880913,107.8037551,2.5651481,,0.5725777009
100,4.4735813,0.21072459,-0.41813669,-0.025258794,1.1235631,0.576648,107.7360348,#REF!,,0.9985672545
125,6.9050918,0.30052668,-0.66491169,-0.033208799,1.7876681,0.82222611,107.7143698,4.4735813,,1.541315134
150,9.8480883,0.42038211,-0.98009962,-0.042987209,2.6397891,1.1469859,107.4185457,9.8480883,,2.198233996
175,13.304378,0.55247015,-1.3503917,-0.053152889,3.6448207,1.503314,107.1288144,13.304378,,2.969727232
200,17.260736,0.71921164,-1.7905917,-0.065743782,4.8389034,1.9563118,107.0894731,17.260736,,3.852842857
225,21.722424,0.9004159,-2.3012037,-0.076525524,6.2252374,2.4504855,107.1456136,21.722424,,4.848755357
250,26.69445,1.114941,-2.8557634,-0.08641202,7.732615,3.0325062,107.0816923,26.69445,,5.958582589
275,32.15852,1.3576612,-3.4490175,-0.096984111,9.3433771,3.6927996,107.085273,32.15852,,7.178241071
300,38.116871,1.6182215,-4.1213517,-0.10645898,11.163439,4.4031696,107.1254999,38.116871,,8.508230134
325,44.55838,1.904145,-4.9696474,-0.12814613,13.46827,5.1851325,107.2075218,44.55838,,9.946066964
350,49.635834,1.7687068,-5.6317816,-0.21576591,15.25751,4.8400269,107.7351311,49.635834,,11.07942723
375,56.794754,1.991672,-6.5500808,-0.25644723,17.738102,5.4646187,108.0208178,56.794754,,12.67740045
400,64.419876,2.2042532,-7.5483699,-0.30456993,20.419703,6.0770559,108.5418367,64.419876,,14.37943661
425,72.514687,2.4186096,-8.5884714,-0.3616569,23.230936,6.6832638,108.789817,72.514687,,16.18631406
450,81.076218,2.5518627,-9.6413584,-0.42505291,26.078112,7.0697746,109.0721009,81.076218,,18.09737009
475,90.110779,2.7135944,-10.867152,-0.4999713,29.397652,7.5377398,109.3607858,90.110779,,20.11401317
500,99.63559,2.8433449,-12.325937,-0.59581578,33.351864,7.9185314,109.6429002,99.63559,,22.24008705
525,109.64438,2.9816554,-13.736328,-0.69768053,37.170452,8.319643,109.8531859,109.64438,,24.47419196
550,120.13928,3.1932025,-15.049457,-0.80658799,40.733101,8.9207249,109.9864288,120.13928,,26.81680357
575,131.13818,3.2290025,-16.63216,-0.93436164,45.019115,9.0395107,110.2153177,131.13818,,29.27191518
600,142.63885,3.1406574,-18.500551,-1.0764599,50.092293,8.8640366,111.1159469,142.63885,,31.83902902
625,154.65163,3.1466148,-20.364107,-1.239596,55.149601,8.950263,111.9844267,154.65163,,34.52045313
650,167.19453,3.1021802,-22.207777,-1.4178458,60.201271,8.8717909,112.5925592,167.19453,,37.32020759
675,180.27878,2.8984377,-24.162455,-1.6101943,65.551743,8.3608637,113.5671137,180.27878,,40.24079911
700,193.87212,2.8440528,-26.52861,-1.8200417,72.031921,8.2584143,114.3205819,193.87212,,43.27502679
725,208.0517,2.5045958,-29.111195,-2.060215,79.093155,7.38234,116.0437647,208.0517,,46.44011161
750,222.84598,2.144546,-31.663401,-2.3461595,86.086067,6.4838753,,222.84598,,49.74240625